名称,类型,状态,路径,来源
无锡,city,成功,/images/landmarks/cc6b473b7ea2.jpg,bing:无锡 城市 风景 地标
常州,city,成功,/images/landmarks/880490aef6af.jpg,bing:常州 城市 风景 地标
南通,city,成功,/images/landmarks/17f86f3907de.jpg,baike_og
扬州,city,成功,/images/landmarks/62d3121c3670.jpg,baike_og
徐州,city,成功,/images/landmarks/3fe7f3810619.jpg,bing:徐州 城市 风景 地标
盐城,city,成功,/images/landmarks/640eb5069b38.jpg,baike_og
泰州,city,成功,/images/landmarks/1c1a12cefc51.jpg,baike_og
淮安,city,成功,/images/landmarks/6dc16ea4e5d9.jpg,bing:淮安 城市 风景 地标
连云港,city,成功,/images/landmarks/6cd1ddd713d2.jpg,bing:连云港 城市 风景 地标
宿迁,city,成功,/images/landmarks/4cff4ea00b43.jpg,bing:宿迁 城市 风景 地标
成都,city,成功,/images/landmarks/14bf5c897776.jpg,baike_og
宜宾,city,成功,/images/landmarks/f18e49b29ad9.jpg,baike_og
南充,city,成功,/images/landmarks/1d12d4e9ada2.jpg,baike_og
泸州,city,成功,/images/landmarks/f73035874de8.jpg,bing:泸州 城市 风景 地标
乐山,city,成功,/images/landmarks/f2efa8f0f864.jpg,baike_og
眉山,city,成功,/images/landmarks/ab692c9cf01a.jpg,bing:眉山 城市 风景 地标
自贡,city,成功,/images/landmarks/5d7baeaaa931.jpg,baike_og
攀枝花,city,成功,/images/landmarks/929a47228d48.jpg,bing:攀枝花 城市 风景 地标
广元,city,成功,/images/landmarks/5455ef2fc6a3.jpg,bing:广元 城市 风景 地标
内江,city,成功,/images/landmarks/0af2f5014267.jpg,bing:内江 城市 风景 地标
广安,city,成功,/images/landmarks/e21a0fd9100e.jpg,baike_og
达州,city,失败-保留旧URL,https://picsum.photos/seed/b714eedcb8d6/800/800,all_failed
巴中,city,成功,/images/landmarks/f6f971c484f4.jpg,baike_og
资阳,city,成功,/images/landmarks/40d82e436415.jpg,baike_og
阿坝,city,成功,/images/landmarks/2b8bdf17b95e.jpg,baike_og
甘孜,city,成功,/images/landmarks/246f0af925aa.jpg,bing:甘孜 城市 风景 地标
凉山,city,成功,/images/landmarks/ebf676195f9f.jpg,bing:凉山 城市 风景 地标
武汉,city,成功,/images/landmarks/ad9efa2f14d4.jpg,baike_og
宜昌,city,成功,/images/landmarks/09aebff41f22.jpg,bing:宜昌 城市 风景 地标
襄阳,city,成功,/images/landmarks/bda25f854cd1.jpg,bing:襄阳 城市 风景 地标
荆州,city,成功,/images/landmarks/731028f1e14d.jpg,baike_og
黄石,city,成功,/images/landmarks/c97245daea5e.jpg,baike_og
十堰,city,成功,/images/landmarks/6de818644adb.jpg,bing:十堰 城市 风景 地标
孝感,city,成功,/images/landmarks/adad1295e829.jpg,bing:孝感 城市 风景 地标
黄冈,city,成功,/images/landmarks/91978b411d0f.jpg,bing:黄冈 城市 风景 地标
咸宁,city,成功,/images/landmarks/9c6597e3f762.jpg,bing:咸宁 城市 风景 地标
随州,city,成功,/images/landmarks/7d81ef23d922.jpg,baike_og
恩施,city,成功,/images/landmarks/570507d809b8.jpg,baike_og
荆门,city,成功,/images/landmarks/63f84ed8b2d6.jpg,baike_og
仙桃,city,成功,/images/landmarks/c964a9c694cd.jpg,bing:仙桃 城市 风景 地标
天门,city,成功,/images/landmarks/921f0f3fc99c.jpg,bing:天门 城市 风景 地标
潜江,city,成功,/images/landmarks/5085f353eda4.jpg,baike_og
神农架,city,成功,/images/landmarks/f3b1c52bcd04.jpg,baike_og
长沙,city,成功,/images/landmarks/6b357589b12f.jpg,bing:长沙 城市 风景 地标
株洲,city,成功,/images/landmarks/2ec31e07277c.jpg,baike_og
湘潭,city,成功,/images/landmarks/d5aa6287c348.jpg,bing:湘潭 城市 风景 地标
衡阳,city,成功,/images/landmarks/ec83055a4aaa.jpg,baike_og
岳阳,city,成功,/images/landmarks/bb5c195fc187.jpg,bing:岳阳 城市 风景 地标
常德,city,成功,/images/landmarks/d888c36f9c65.jpg,bing:常德 城市 风景 地标
张家界,city,成功,/images/landmarks/1260698db1f0.jpg,baike_og
郴州,city,成功,/images/landmarks/95fd99943946.jpg,bing:郴州 城市 风景 地标
益阳,city,成功,/images/landmarks/d69989a29a01.jpg,baike_og
永州,city,成功,/images/landmarks/75ea0bee5a6b.jpg,baike_og
娄底,city,成功,/images/landmarks/9859819c6bc8.jpg,baike_og
邵阳,city,成功,/images/landmarks/08c21488c341.jpg,bing:邵阳 城市 风景 地标
吉首,city,成功,/images/landmarks/bf1e05de6e35.jpg,bing:吉首 城市 风景 地标
凤凰,city,成功,/images/landmarks/b1cee26c4f8a.jpg,bing:凤凰 城市 风景 地标
湘西,city,成功,/images/landmarks/930d9157ba40.jpg,baike_og
福州,city,成功,/images/landmarks/1096da16c342.jpg,baike_og
厦门,city,成功,/images/landmarks/597f60c6ed8b.jpg,bing:厦门 城市 风景 地标
泉州,city,成功,/images/landmarks/3716e0084091.jpg,baike_og
漳州,city,成功,/images/landmarks/e4b0f7185029.jpg,baike_og
莆田,city,成功,/images/landmarks/5d2193be5194.jpg,bing:莆田 城市 风景 地标
龙岩,city,成功,/images/landmarks/1c24fe898141.jpg,baike_og
三明,city,成功,/images/landmarks/92c6185c9cae.jpg,bing:三明 城市 风景 地标
南平,city,成功,/images/landmarks/2bd90d301df4.jpg,baike_og
宁德,city,成功,/images/landmarks/b52ae08c41ed.jpg,baike_og
武夷山,city,成功,/images/landmarks/717327fd7235.jpg,baike_og
平潭,city,成功,/images/landmarks/a23caec5e8b0.jpg,baike_og
济南,city,成功,/images/landmarks/8f55a5c898a5.jpg,baike_og
青岛,city,成功,/images/landmarks/05ec55f03739.jpg,bing:青岛 城市 风景 地标
烟台,city,成功,/images/landmarks/8a18d8a51f74.jpg,bing:烟台 城市 风景 地标
威海,city,成功,/images/landmarks/22e8aa6f4bc2.jpg,baike_og
潍坊,city,成功,/images/landmarks/0b7783a6cbd0.jpg,baike_og
淄博,city,成功,/images/landmarks/285c2d840adb.jpg,baike_og
临沂,city,成功,/images/landmarks/8500feec62b6.jpg,baike_og
济宁,city,成功,/images/landmarks/644e2a6e72ef.jpg,baike_og
泰安,city,成功,/images/landmarks/c06997d591d1.jpg,bing:泰安 city skyline land
日照,city,成功,/images/landmarks/75b74a021b49.jpg,baike_og
德州,city,失败-保留旧URL,https://picsum.photos/seed/57ed0d8bb083/800/800,all_failed
聊城,city,成功,/images/landmarks/d6ea46df6891.jpg,baike_og
滨州,city,成功,/images/landmarks/a6a6d5707de8.jpg,baike_og
菏泽,city,成功,/images/landmarks/f64f08c2d706.jpg,bing:菏泽 城市 风景 地标
枣庄,city,成功,/images/landmarks/94c5254514f5.jpg,baike_og
东营,city,失败-保留旧URL,https://picsum.photos/seed/7fe1d144a4f9/800/800,all_failed
曲阜,city,成功,/images/landmarks/f21ff0cc2923.jpg,baike_og
郑州,city,成功,/images/landmarks/c1a5e59d07da.jpg,baike_og
洛阳,city,成功,/images/landmarks/0549be0aaf1f.jpg,baike_og
开封,city,成功,/images/landmarks/efed18d7995f.jpg,bing:开封 城市 风景 地标
南阳,city,成功,/images/landmarks/e01baf35928f.jpg,bing:南阳 城市 风景 地标
许昌,city,成功,/images/landmarks/8908a2ff6c91.jpg,baike_og
安阳,city,成功,/images/landmarks/0f0e1334efa2.jpg,baike_og
信阳,city,成功,/images/landmarks/1095769a798b.jpg,baike_og
商丘,city,成功,/images/landmarks/7e850eff72e6.jpg,baike_og
周口,city,成功,/images/landmarks/0fa51ce27b62.jpg,bing:周口 城市 风景 地标
驻马店,city,成功,/images/landmarks/54e144683f4a.jpg,baike_og
平顶山,city,失败-保留旧URL,https://picsum.photos/seed/3c318b6ec7fd/800/800,all_failed
焦作,city,失败-保留旧URL,https://picsum.photos/seed/207a16e4ebfd/800/800,all_failed
濮阳,city,成功,/images/landmarks/dae475055dec.jpg,bing:濮阳 城市 风景 地标
漯河,city,成功,/images/landmarks/fb50ae2c452d.jpg,bing:漯河 城市 风景 地标
三门峡,city,成功,/images/landmarks/4b7f10404056.jpg,baike_og
鹤壁,city,成功,/images/landmarks/8645547da726.jpg,baike_og
济源,city,成功,/images/landmarks/e3c6514d8d0f.jpg,baike_og
石家庄,city,成功,/images/landmarks/f34e15472b71.jpg,bing:石家庄 城市 风景 地标
唐山,city,成功,/images/landmarks/0ae545752ac2.jpg,bing:唐山 城市 风景 地标
保定,city,成功,/images/landmarks/381ac9c777ed.jpg,bing:保定 城市 风景 地标
邯郸,city,成功,/images/landmarks/4f52c3ae1e11.jpg,bing:邯郸 城市 风景 地标
廊坊,city,成功,/images/landmarks/c5469f1ff8f1.jpg,baike_og
沧州,city,成功,/images/landmarks/960a4ba267ea.jpg,baike_og
秦皇岛,city,成功,/images/landmarks/6a6875e6f7b6.jpg,bing:秦皇岛 城市 风景 地标
张家口,city,成功,/images/landmarks/0ad05831b638.jpg,baike_og
承德,city,成功,/images/landmarks/53f1aae52119.jpg,baike_og
邢台,city,成功,/images/landmarks/997154c3fcfc.jpg,bing:邢台 城市 风景 地标
衡水,city,成功,/images/landmarks/7dea8476f70b.jpg,bing:衡水 城市 风景 地标
雄安新区,city,成功,/images/landmarks/3da066df02b5.jpg,bing:雄安新区 城市 风景 地标
沈阳,city,成功,/images/landmarks/be57fee22b93.jpg,baike_og
大连,city,成功,/images/landmarks/386831d62e2b.jpg,baike_og
鞍山,city,成功,/images/landmarks/927b4c40f236.jpg,bing:鞍山 城市 风景 地标
抚顺,city,成功,/images/landmarks/3e894a6daa89.jpg,baike_og
本溪,city,成功,/images/landmarks/8e2ec5889f41.jpg,bing:本溪 城市 风景 地标
丹东,city,成功,/images/landmarks/dc19b9db331a.jpg,baike_og
锦州,city,成功,/images/landmarks/7ebfb5629e6b.jpg,baike_og
营口,city,成功,/images/landmarks/9744c5abb883.jpg,baike_og
辽阳,city,成功,/images/landmarks/34f72f0f970a.jpg,baike_og
盘锦,city,成功,/images/landmarks/e9f16b74ab39.jpg,baike_og
铁岭,city,成功,/images/landmarks/58132494911a.jpg,baike_og
朝阳,city,成功,/images/landmarks/05737a575bfe.jpg,bing:朝阳 城市 风景 地标
葫芦岛,city,成功,/images/landmarks/e4a8b4a43f65.jpg,baike_og
西安,city,成功,/images/landmarks/79b21044d044.jpg,baike_og
咸阳,city,成功,/images/landmarks/164024350678.jpg,baike_og
宝鸡,city,成功,/images/landmarks/ba0a2b8b055a.jpg,baike_og
延安,city,成功,/images/landmarks/5794d4230c3b.jpg,bing:延安 城市 风景 地标
榆林,city,成功,/images/landmarks/598e6c3ce248.jpg,baike_og
安康,city,成功,/images/landmarks/0e093d5689a9.jpg,bing:安康 城市 风景 地标
商洛,city,成功,/images/landmarks/3ba3dcaa8765.jpg,bing:商洛 城市 风景 地标
铜川,city,成功,/images/landmarks/bd59a636e163.jpg,baike_og
华山,city,成功,/images/landmarks/895acb85a9be.jpg,bing:华山 城市 风景 地标
昆明,city,成功,/images/landmarks/41fe9aad4290.jpg,baike_og
大理,city,成功,/images/landmarks/d93467c50a4c.jpg,baike_og
丽江,city,成功,/images/landmarks/7bb4299d34ed.jpg,baike_og
香格里拉,city,成功,/images/landmarks/971783775735.jpg,bing:香格里拉 城市 风景 地标
西双版纳,city,成功,/images/landmarks/a60c3633a772.jpg,bing:西双版纳 城市 风景 地标
腾冲,city,成功,/images/landmarks/92fe200753c1.jpg,baike_og
普洱,city,失败-保留旧URL,https://picsum.photos/seed/c4035013b2a3/800/800,all_failed
曲靖,city,成功,/images/landmarks/8be217918f08.jpg,bing:曲靖 城市 风景 地标
玉溪,city,成功,/images/landmarks/62b58ac69829.jpg,bing:玉溪 城市 风景 地标
保山,city,成功,/images/landmarks/0fcb8bf277a2.jpg,baike_og
昭通,city,成功,/images/landmarks/b38a173a3d4a.jpg,bing:昭通 城市 风景 地标
临沧,city,成功,/images/landmarks/c113c5a33aa9.jpg,baike_og
红河,city,成功,/images/landmarks/124435916d7e.jpg,bing:红河 城市 风景 地标
文山,city,成功,/images/landmarks/b35fa32de521.jpg,bing:文山 城市 风景 地标
德宏,city,成功,/images/landmarks/7bf59e3a3128.jpg,baike_og
怒江,city,失败-保留旧URL,https://picsum.photos/seed/7e7d9bd79439/800/800,all_failed
迪庆,city,成功,/images/landmarks/eb7d77bad054.jpg,bing:迪庆 城市 风景 地标
贵阳,city,成功,/images/landmarks/ef7f9f824c33.jpg,bing:贵阳 城市 风景 地标
遵义,city,成功,/images/landmarks/93e3e2ceec82.jpg,baike_og
安顺,city,失败-保留旧URL,https://picsum.photos/seed/23f44742bb54/800/800,all_failed
毕节,city,成功,/images/landmarks/a3bd31a087f0.jpg,baike_og
黔东南,city,失败-保留旧URL,https://picsum.photos/seed/9935966cfa8d/800/800,all_failed
黔南,city,成功,/images/landmarks/1d5e40961698.jpg,baike_og
黔西南,city,成功,/images/landmarks/562839325407.jpg,baike_og
六盘水,city,成功,/images/landmarks/b8982c4df165.jpg,baike_og
凯里,city,成功,/images/landmarks/6ebe4fdd627b.jpg,baike_og
荔波,city,成功,/images/landmarks/d1a67243ee14.jpg,baike_og
黄果树,city,成功,/images/landmarks/33507a97ea44.jpg,baike_og
梵净山,city,成功,/images/landmarks/60a052e3fc0a.jpg,baike_og
南宁,city,成功,/images/landmarks/05acf573f5c0.jpg,bing:南宁 城市 风景 地标
桂林,city,成功,/images/landmarks/1a57149358c0.jpg,bing:桂林 城市 风景 地标
柳州,city,成功,/images/landmarks/3b05fc7ed470.jpg,bing:柳州 城市 风景 地标
北海,city,成功,/images/landmarks/5ebbabf2d495.jpg,bing:北海 城市 风景 地标
玉林,city,失败-保留旧URL,https://picsum.photos/seed/f9e7f28458f0/800/800,all_failed
梧州,city,成功,/images/landmarks/001636faeaac.jpg,baike_og
防城港,city,成功,/images/landmarks/74c0b242b120.jpg,baike_og
钦州,city,成功,/images/landmarks/124766f6713f.jpg,baike_og
贵港,city,成功,/images/landmarks/a01aec25d4bd.jpg,baike_og
百色,city,成功,/images/landmarks/6d9dcfd93840.jpg,bing:百色 城市 风景 地标
贺州,city,成功,/images/landmarks/02df13aa3022.jpg,bing:贺州 城市 风景 地标
河池,city,成功,/images/landmarks/7468219419b7.jpg,bing:河池 城市 风景 地标
来宾,city,成功,/images/landmarks/44f931c14209.jpg,baike_og
阳朔,city,成功,/images/landmarks/d9ac4f85ed57.jpg,bing:阳朔 城市 风景 地标
涠洲岛,city,成功,/images/landmarks/00b098f9c9c9.jpg,bing:涠洲岛 城市 风景 地标
海口,city,失败-保留旧URL,https://picsum.photos/seed/ca8c986da434/800/800,all_failed
三亚,city,成功,/images/landmarks/fcf3af2237af.jpg,baike_og
儋州,city,成功,/images/landmarks/19fb884a71e2.jpg,baike_og
琼海,city,成功,/images/landmarks/7fa780467470.jpg,baike_og
文昌,city,成功,/images/landmarks/e48389571922.jpg,baike_og
万宁,city,成功,/images/landmarks/cd21b41cb963.jpg,baike_og
五指山,city,成功,/images/landmarks/5743e46052f7.jpg,baike_og
东方,city,成功,/images/landmarks/b7b80022c810.jpg,bing:东方 城市 风景 地标
陵水,city,成功,/images/landmarks/ab5cb705d128.jpg,bing:陵水 城市 风景 地标
乐东,city,成功,/images/landmarks/1c5471eb5576.jpg,bing:乐东 城市 风景 地标
澄迈,city,成功,/images/landmarks/cbb581fdc8cd.jpg,baike_og
临高,city,成功,/images/landmarks/d49b7a742b22.jpg,baike_og
定安,city,失败-保留旧URL,https://picsum.photos/seed/38c919e11bd4/800/800,all_failed
屯昌,city,成功,/images/landmarks/365b510ba89d.jpg,baike_og
昌江,city,成功,/images/landmarks/791c1fe0504d.jpg,baike_og
保亭,city,成功,/images/landmarks/2c5b9a810570.jpg,baike_og
三沙,city,成功,/images/landmarks/5b3c5a016010.jpg,baike_og
合肥,city,成功,/images/landmarks/f5dc45d5d126.jpg,baike_og
芜湖,city,成功,/images/landmarks/327cbd6e37eb.jpg,baike_og
蚌埠,city,成功,/images/landmarks/7bfe909a828f.jpg,bing:蚌埠 城市 风景 地标
淮南,city,成功,/images/landmarks/c1c2a3aba3de.jpg,bing:淮南 城市 风景 地标
马鞍山,city,成功,/images/landmarks/4a6840df0c3a.jpg,bing:马鞍山 城市 风景 地标
安庆,city,成功,/images/landmarks/1ab0fa2ad63b.jpg,baike_og
黄山,city,成功,/images/landmarks/1986d7d41d8a.jpg,baike_og
阜阳,city,成功,/images/landmarks/010b762dfd48.jpg,baike_og
宿州,city,成功,/images/landmarks/b77ab73ba429.jpg,baike_og
滁州,city,成功,/images/landmarks/cbb6d182efc9.jpg,baike_og
六安,city,成功,/images/landmarks/d0c3228f0309.jpg,bing:六安 城市 风景 地标
宣城,city,成功,/images/landmarks/59a7c94fac38.jpg,baike_og
池州,city,成功,/images/landmarks/56b2bd6d5f66.jpg,baike_og
亳州,city,成功,/images/landmarks/940d1002f82c.jpg,baike_og
铜陵,city,成功,/images/landmarks/f9a09eba4d51.jpg,baike_og
淮北,city,成功,/images/landmarks/3e59606ba285.jpg,bing:淮北 城市 风景 地标
九华山,city,成功,/images/landmarks/7afb89c99392.jpg,baike_og
南昌,city,成功,/images/landmarks/1db4a42c28a2.jpg,bing:南昌 城市 风景 地标
九江,city,成功,/images/landmarks/d3c9a9eb8ae6.jpg,bing:九江 城市 风景 地标
景德镇,city,成功,/images/landmarks/f5e157304fab.jpg,baike_og
赣州,city,成功,/images/landmarks/8ebd5d853db2.jpg,baike_og
上饶,city,成功,/images/landmarks/7e5db6d49ccb.jpg,baike_og
宜春,city,成功,/images/landmarks/10df11847522.jpg,bing:宜春 城市 风景 地标
吉安,city,成功,/images/landmarks/09d6997489ce.jpg,bing:吉安 城市 风景 地标
抚州,city,成功,/images/landmarks/a78b87eb57eb.jpg,bing:抚州 城市 风景 地标
萍乡,city,成功,/images/landmarks/dafbf7fbd688.jpg,baike_og
新余,city,成功,/images/landmarks/e2c26016d9df.jpg,baike_og
鹰潭,city,成功,/images/landmarks/228bd2a03e15.jpg,bing:鹰潭 城市 风景 地标
庐山,city,成功,/images/landmarks/d6fc44e1efe4.jpg,bing:庐山 城市 风景 地标
婺源,city,成功,/images/landmarks/203651e23594.jpg,bing:婺源 城市 风景 地标
井冈山,city,成功,/images/landmarks/704421ce6c47.jpg,bing:井冈山 city skyline lan
三清山,city,成功,/images/landmarks/0cac6735140e.jpg,baike_og
太原,city,成功,/images/landmarks/fd2ebae36d8b.jpg,bing:太原 城市 风景 地标
大同,city,成功,/images/landmarks/ff1b9826ad92.jpg,bing:大同 城市 风景 地标
阳泉,city,成功,/images/landmarks/dda795c22bd5.jpg,baike_og
长治,city,成功,/images/landmarks/d1f164c4b516.jpg,bing:长治 城市 风景 地标
晋城,city,成功,/images/landmarks/4cde74c27106.jpg,bing:晋城 城市 风景 地标
临汾,city,成功,/images/landmarks/51ed5067c29e.jpg,bing:临汾 城市 风景 地标
运城,city,成功,/images/landmarks/651cd625b361.jpg,bing:运城 城市 风景 地标
吕梁,city,成功,/images/landmarks/a7c2cb53bc4b.jpg,baike_og
晋中,city,成功,/images/landmarks/1868162c3c75.jpg,baike_og
忻州,city,成功,/images/landmarks/757b0715e121.jpg,baike_og
平遥,city,成功,/images/landmarks/8acef68f962f.jpg,baike_og
五台山,city,成功,/images/landmarks/5793339fff0b.jpg,bing:五台山 城市 风景 地标
壶口瀑布,city,成功,/images/landmarks/db9a5f74943d.jpg,baike_og
长春,city,成功,/images/landmarks/2018c3e95676.jpg,baike_og
吉林,city,成功,/images/landmarks/4013c127fd24.jpg,bing:吉林 城市 风景 地标
四平,city,成功,/images/landmarks/d8d7535f5683.jpg,baike_og
辽源,city,成功,/images/landmarks/100d12f2f32b.jpg,bing:辽源 城市 风景 地标
通化,city,成功,/images/landmarks/64b58d400f61.jpg,bing:通化 城市 风景 地标
白山,city,成功,/images/landmarks/3c98c90f2342.jpg,baike_og
延边,city,成功,/images/landmarks/8ea46638f8b9.jpg,baike_og
松原,city,成功,/images/landmarks/8cc386a93908.jpg,bing:松原 城市 风景 地标
白城,city,失败-保留旧URL,https://picsum.photos/seed/90bd3efdf029/800/800,all_failed
长白山,city,成功,/images/landmarks/2172d25cfd49.jpg,bing:长白山 城市 风景 地标
哈尔滨,city,成功,/images/landmarks/f563daa4b162.jpg,baike_og
齐齐哈尔,city,成功,/images/landmarks/5268833e01ca.jpg,bing:齐齐哈尔 城市 风景 地标
牡丹江,city,成功,/images/landmarks/6909289dbaae.jpg,bing:牡丹江 城市 风景 地标
佳木斯,city,成功,/images/landmarks/9ca795adf580.jpg,baike_og
大庆,city,成功,/images/landmarks/a8d5049637e5.jpg,bing:大庆 城市 风景 地标
鸡西,city,成功,/images/landmarks/a8a43b72e834.jpg,baike_og
鹤岗,city,成功,/images/landmarks/7ac9f0ec6fbc.jpg,baike_og
黑河,city,成功,/images/landmarks/6d9dc3a09ebb.jpg,bing:黑河 城市 风景 地标
双鸭山,city,成功,/images/landmarks/9cae86cba79e.jpg,baike_og
伊春,city,失败-保留旧URL,https://picsum.photos/seed/a08c5043c3ed/800/800,all_failed
七台河,city,成功,/images/landmarks/a657ba979f3f.jpg,baike_og
绥化,city,成功,/images/landmarks/678257ed8376.jpg,bing:绥化 城市 风景 地标
大兴安岭,city,成功,/images/landmarks/f5cdb5c0757a.jpg,bing:大兴安岭 城市 风景 地标
漠河,city,成功,/images/landmarks/5514121c6fd4.jpg,baike_og
雪乡,city,成功,/images/landmarks/e7bc269c5d5c.jpg,baike_og
亚布力,city,成功,/images/landmarks/0abb77eaa4dc.jpg,baike_og
兰州,city,成功,/images/landmarks/2e90ebdfa54b.jpg,baike_og
嘉峪关,city,成功,/images/landmarks/7ebdcf45219b.jpg,bing:嘉峪关 城市 风景 地标
天水,city,失败-保留旧URL,https://picsum.photos/seed/3241a21e2b48/800/800,all_failed
武威,city,成功,/images/landmarks/24dcb6b0fee8.jpg,baike_og
张掖,city,成功,/images/landmarks/2a88d449f1f6.jpg,baike_og
酒泉,city,成功,/images/landmarks/ca6d76181966.jpg,baike_og
敦煌,city,成功,/images/landmarks/178f54c15b82.jpg,bing:敦煌 city skyline land
平凉,city,成功,/images/landmarks/63ad839ef3f8.jpg,bing:平凉 城市 风景 地标
金昌,city,成功,/images/landmarks/7c0d4c80b495.jpg,baike_og
白银,city,成功,/images/landmarks/191c1de0b524.jpg,bing:白银 城市 风景 地标
陇南,city,成功,/images/landmarks/15659be747b1.jpg,baike_og
庆阳,city,成功,/images/landmarks/eab509f0aa5c.jpg,bing:庆阳 城市 风景 地标
临夏,city,成功,/images/landmarks/d324ab105573.jpg,baike_og
甘南,city,成功,/images/landmarks/a188a06ebd77.jpg,baike_og
包头,city,成功,/images/landmarks/e132301844dc.jpg,bing:包头 城市 风景 地标
鄂尔多斯,city,成功,/images/landmarks/666d64d6c101.jpg,baike_og
呼伦贝尔,city,成功,/images/landmarks/2565ea517ce3.jpg,baike_og
赤峰,city,成功,/images/landmarks/a896ed6b525f.jpg,bing:赤峰 城市 风景 地标
乌海,city,成功,/images/landmarks/c7a32b54f42e.jpg,bing:乌海 城市 风景 地标
巴彦淖尔,city,成功,/images/landmarks/ba99e5c34252.jpg,baike_og
乌兰察布,city,成功,/images/landmarks/15f232c5ef15.jpg,baike_og
兴安盟,city,成功,/images/landmarks/2d5af763842d.jpg,baike_og
锡林郭勒,city,成功,/images/landmarks/9f6c80addfe4.jpg,bing:锡林郭勒 城市 风景 地标
阿拉善,city,成功,/images/landmarks/ba78baae5d9b.jpg,bing:阿拉善 城市 风景 地标
满洲里,city,成功,/images/landmarks/904f0fc29d68.jpg,baike_og
额济纳,city,成功,/images/landmarks/8dc42a49eb3e.jpg,baike_og
乌鲁木齐,city,成功,/images/landmarks/157457360141.jpg,baike_og
克拉玛依,city,成功,/images/landmarks/456ae6d2ab6e.jpg,bing:克拉玛依 城市 风景 地标
吐鲁番,city,成功,/images/landmarks/8a5873ab9f79.jpg,baike_og
哈密,city,失败-保留旧URL,https://picsum.photos/seed/65ea7e03583c/800/800,all_failed
喀什,city,成功,/images/landmarks/80fd99d6d93d.jpg,bing:喀什 城市 风景 地标
伊犁,city,成功,/images/landmarks/6a427d69742d.jpg,baike_og
阿勒泰,city,成功,/images/landmarks/e7b46a54afa2.jpg,bing:阿勒泰 城市 风景 地标
库尔勒,city,失败-保留旧URL,https://picsum.photos/seed/fd8611c1dc2c/800/800,all_failed
阿克苏,city,成功,/images/landmarks/ddf2a8de7da8.jpg,baike_og
和田,city,成功,/images/landmarks/6266c41aebd1.jpg,bing:和田 城市 风景 地标
昌吉,city,成功,/images/landmarks/298b067982a3.jpg,bing:昌吉 城市 风景 地标
博尔塔拉,city,成功,/images/landmarks/c92128f889bf.jpg,baike_og
巴音郭楞,city,成功,/images/landmarks/b4e5dc2df0ee.jpg,bing:巴音郭楞 城市 风景 地标
克孜勒苏,city,成功,/images/landmarks/a1c13bfc4e95.jpg,baike_og
塔城,city,成功,/images/landmarks/11a63e1f07c7.jpg,baike_og
喀纳斯,city,成功,/images/landmarks/24a7a2605979.jpg,bing:喀纳斯 城市 风景 地标
那拉提,city,成功,/images/landmarks/f00f15beec0b.jpg,baike_og
赛里木湖,city,成功,/images/landmarks/d540ec1ec3bf.jpg,baike_og
拉萨,city,成功,/images/landmarks/c289438c5f92.jpg,baike_og
日喀则,city,成功,/images/landmarks/ba2a36e22f02.jpg,bing:日喀则 城市 风景 地标
林芝,city,成功,/images/landmarks/3824bf51a677.jpg,baike_og
山南,city,成功,/images/landmarks/8037a819abb8.jpg,baike_og
那曲,city,成功,/images/landmarks/f2529980616d.jpg,bing:那曲 city skyline land
昌都,city,成功,/images/landmarks/4676396f7cea.jpg,bing:昌都 城市 风景 地标
